Data,Path.Poison,Rate,Train.Clean,Test.Clean,Train.Poison,Test.Poison,key,file,c1,c2,cls_coef,density,f1.mean,f1.sd,f1v.mean,f1v.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,hubs.mean,hubs.sd,l1.mean,l1.sd,l2.mean,l2.sd,l3.mean,l3.sd,lsc,n1,n2.mean,n2.sd,n3.mean,n3.sd,n4.mean,n4.sd,t1,t2,t3,t4
f27_i22_r05_c14_w5_n2400_1,poisoned_data/feature_noise_svm/f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.00.csv,0.0,1.0,0.7770833333333333,1.0,0.7770833333333333,f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.00.csv,f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.00.csv,0.9999929555791551,1.9531059266997275e-05,0.612659009539601,0.885811294945284,0.9949392514290061,0.00750255737443934,0.6660095647430425,,0.020859816908565806,,0.9953125,,0.9375,,0.8266966994749781,0.19389187703242566,0.1656553118347518,,0.37031250000000004,,0.3270833333333333,,0.9984529622395834,0.4822916666666667,0.4852088781887138,0.03027323298227846,0.3177083333333333,0.4657066759320108,0.3494791666666667,0.47692971022728425,0.996875,0.0140625,0.0109375,0.7777777777777778
f27_i22_r05_c14_w5_n2400_1,poisoned_data/feature_noise_svm/f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.05.csv,0.05,1.0,0.7770833333333333,1.0,0.7729166666666667,f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.05.csv,f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.05.csv,0.9999929555791551,1.9531059266997275e-05,0.6102146971180676,0.8845177609866249,0.9964791091272521,0.005174239931190929,0.7504594219197264,,0.0032605303271911385,,0.9953125,,0.9276041666666667,,0.8248019926067911,0.19598078542005412,0.17317704092638453,,0.3734375,,0.3427083333333333,,0.99849365234375,0.4953125,0.48585815320377407,0.02988543048560508,0.3171875,0.4655023635762224,0.3333333333333333,0.47152733035955813,0.9989583333333333,0.0140625,0.011979166666666667,0.8518518518518519
f27_i22_r05_c14_w5_n2400_1,poisoned_data/feature_noise_svm/f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.10.csv,0.1,1.0,0.7770833333333333,1.0,0.7875,f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.10.csv,f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.10.csv,0.9999929555791551,1.9531059266997275e-05,0.6101993021513905,0.8829919011638006,0.9971468996640196,0.004147673813557837,0.774654461993937,,0.0043652267829887926,,0.9958333333333333,,0.925,,0.8231780436914815,0.19829791950156514,0.17678919817678218,,0.3755208333333333,,0.3661458333333333,,0.9985205078125,0.521875,0.48649370382491663,0.02945126332658018,0.3333333333333333,0.47152733035955813,0.34791666666666665,0.4764335033337141,0.9963541666666667,0.0140625,0.0125,0.8888888888888888
f27_i22_r05_c14_w5_n2400_1,poisoned_data/feature_noise_svm/f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.15.csv,0.15,1.0,0.7770833333333333,1.0,0.7541666666666667,f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.15.csv,f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.15.csv,0.9999929555791551,1.9531059266997275e-05,0.6078602749502939,0.8808993399339934,0.9973864648201689,0.0036297586451534795,0.785348043480795,,0.0119718812076575,,0.9953125,,0.9442708333333333,,0.8169143883544197,0.20527783295538166,0.17746478517514164,,0.38541666666666663,,0.36875,,0.9985378689236111,0.5354166666666667,0.48772423668993936,0.02887866501063709,0.3515625,0.47758256136314964,0.3489583333333333,0.47676493458381136,0.9984375,0.0140625,0.0125,0.8888888888888888
f27_i22_r05_c14_w5_n2400_1,poisoned_data/feature_noise_svm/f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.20.csv,0.2,1.0,0.7770833333333333,1.0,0.7479166666666667,f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.20.csv,f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.20.csv,0.9999929555791551,1.9531059266997275e-05,0.6076500936597843,0.8796888570435991,0.9972560524251982,0.005074999614724509,0.764558376652515,,0.009449864955246483,,0.9947916666666666,,0.9333333333333333,,0.813354732358096,0.21047926492892924,0.17401662745871516,,0.3760416666666667,,0.3364583333333333,,0.9985064019097222,0.51875,0.488105362973695,0.028440117816948,0.34010416666666665,0.47386736092630327,0.38697916666666665,0.4871857048169003,0.9953125,0.0140625,0.013020833333333334,0.9259259259259259
f27_i22_r05_c14_w5_n2400_1,poisoned_data/feature_noise_svm/f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.25.csv,0.25,1.0,0.7770833333333333,1.0,0.74375,f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.25.csv,f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.25.csv,0.9999929555791551,1.9531059266997275e-05,0.6041972309485386,0.8786960439464999,0.9987310792783191,0.0019537755111665362,0.8722826736890116,,0.013881999924382086,,0.9958333333333333,,0.9432291666666667,,0.8148366142413856,0.20939240789768018,0.16784052106675018,,0.4041666666666667,,0.39531249999999996,,0.99860107421875,0.5598958333333334,0.48994477476791354,0.027751657163992458,0.37604166666666666,0.4845168734523762,0.36666666666666664,0.4820199522047115,0.9973958333333334,0.0140625,0.013020833333333334,0.9259259259259259
f27_i22_r05_c14_w5_n2400_1,poisoned_data/feature_noise_svm/f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.30.csv,0.3,1.0,0.7770833333333333,1.0,0.7645833333333333,f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.30.csv,f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.30.csv,0.9999929555791551,1.9531059266997275e-05,0.6044791349667745,0.877626150772972,0.9979492208229649,0.002387695152700818,0.8191603570487977,,0.021526451327597996,,0.9958333333333333,,0.9473958333333333,,0.7874498502387536,0.23834756260956738,0.17057217512599399,,0.39479166666666665,,0.365625,,0.9985964626736111,0.5546875,0.4900578605182043,0.0277076802937336,0.36614583333333334,0.48187550430600334,0.35989583333333336,0.48009464672152435,0.9963541666666667,0.0140625,0.013020833333333334,0.9259259259259259
f27_i22_r05_c14_w5_n2400_1,poisoned_data/feature_noise_svm/f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.35.csv,0.35,1.0,0.7770833333333333,1.0,0.74375,f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.35.csv,f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.35.csv,0.9999929555791551,1.9531059266997275e-05,0.602658725407246,0.875794684731631,0.9982034182114637,0.0031117171980732036,0.8349937985323401,,0.0243298957419944,,0.9963541666666667,,0.9484375,,0.8098365342838186,0.21495590058329686,0.1611043111485696,,0.41093749999999996,,0.40104166666666663,,0.9986729600694444,0.5692708333333333,0.4912232221993287,0.02712092241750326,0.38645833333333335,0.48706452158294034,0.3765625,0.4846498940492819,0.9984375,0.0140625,0.013020833333333334,0.9259259259259259
f27_i22_r05_c14_w5_n2400_1,poisoned_data/feature_noise_svm/f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.40.csv,0.4,1.0,0.7770833333333333,1.0,0.73125,f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.40.csv,f27_i22_r05_c14_w5_n2400_1_featurenoiseinjection_svm_0.40.csv,0.9999929555791551,1.9531059266997275e-05,0.5981226995843005,0.8741336633663366,0.9985227095051882,0.0018844095396576572,0.8633223503969769,,0.017317479701087653,,0.99375,,0.9453125,,0.8010188969305012,0.22639115361134737,0.1679191276388392,,0.4057291666666667,,0.40625,,0.9986539713541667,0.5723958333333333,0.4912442184996221,0.026178285586043657,0.37864583333333335,0.4851760177453545,0.38958333333333334,0.48778282327481803,0.9953125,0.0140625,0.013020833333333334,0.9259259259259259
f30_i17_r02_c01_w6_n3000_1,poisoned_data/feature_noise_svm/f30_i17_r02_c01_w6_n3000_1_featurenoiseinjection_svm_0.00.csv,0.0,0.9975,0.9766666666666668,0.9975,0.9766666666666668,f30_i17_r02_c01_w6_n3000_1_featurenoiseinjection_svm_0.00.csv,f30_i17_r02_c01_w6_n3000_1_featurenoiseinjection_svm_0.00.csv,0.9749435669207573,0.06676247827625026,0.5487833846519257,0.8544872863693206,0.9527531469432948,0.07337951678668742,0.10869847736940938,,0.005155863605841408,,0.955,,0.7995833333333333,,0.7912948520466384,0.19359823705220952,0.060629674549091406,,0.07499999999999996,,0.05458333333333332,,0.9924201388888889,0.13,0.4577019858808512,0.029955845388319288,0.07583333333333334,0.26478642744790093,0.24291666666666667,0.4289345172213534,0.9654166666666667,0.0125,0.009583333333333333,0.7666666666666667
