Data,Path.Poison,Rate,Train.Clean,Test.Clean,Train.Poison,Test.Poison,key,file,c1,c2,cls_coef,density,f1.mean,f1.sd,f1v.mean,f1v.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,hubs.mean,hubs.sd,l1.mean,l1.sd,l2.mean,l2.sd,l3.mean,l3.sd,lsc,n1,n2.mean,n2.sd,n3.mean,n3.sd,n4.mean,n4.sd,t1,t2,t3,t4
f16_i11_r05_c01_w4_n2200_1,poisoned_data/random_flip_svm/f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.00.csv,0.0,0.9960227272727272,0.9704545454545456,0.9960227272727272,0.9704545454545456,f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.00.csv,f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.00.csv,0.9783704943988363,0.05794077521868235,0.48768470096922656,0.8575985839061451,0.9505984451787264,0.07858183532920088,0.22139390002736548,,0.017767863600760873,,0.9011363636363636,,0.7380681818181818,,0.7359519994376605,0.25303786578470244,0.10980123858004553,,0.16761363636363635,,0.125,,0.98428170196281,0.10568181818181818,0.39982658419056105,0.06261710473935167,0.05454545454545454,0.22715537825250176,0.23068181818181818,0.42138890374190685,0.48579545454545453,0.00909090909090909,0.005113636363636364,0.5625
f16_i11_r05_c01_w4_n2200_1,poisoned_data/random_flip_svm/f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.05.csv,0.05,0.9960227272727272,0.9704545454545456,0.975,0.968181818181818,f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.05.csv,f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.05.csv,0.9766196536110132,0.0624596554260638,0.49643877958246774,0.8644051372163937,0.9610270048628263,0.06167603585957212,0.30023140186852143,,0.04355390979037032,,0.9806818181818182,,0.8931818181818182,,0.7426054658060611,0.24795512918277587,0.13586085197251263,,0.19886363636363635,,0.15454545454545454,,0.9942607179752067,0.21988636363636363,0.4363404870490596,0.06470714405694532,0.13636363636363635,0.34327182677390733,0.2806818181818182,0.44946002712735456,0.6909090909090909,0.00909090909090909,0.005113636363636364,0.5625
f16_i11_r05_c01_w4_n2200_1,poisoned_data/random_flip_svm/f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.10.csv,0.1,0.9960227272727272,0.9704545454545456,0.9511363636363636,0.9431818181818182,f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.10.csv,f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.10.csv,0.9794993054591905,0.055014165444353,0.5064112348958767,0.8713673833273037,0.9703377932146438,0.04744166796057077,0.38058111968238756,,0.07768145911798252,,0.9903409090909091,,0.9363636363636364,,0.7561074960476537,0.23635760464805777,0.1523815777788714,,0.23295454545454541,,0.19147727272727277,,0.9963710614669421,0.33125,0.45451061880246924,0.0662887945605072,0.21363636363636362,0.40998948063484075,0.3255681818181818,0.46871992642171345,0.8051136363636363,0.00909090909090909,0.005113636363636364,0.5625
f16_i11_r05_c01_w4_n2200_1,poisoned_data/random_flip_svm/f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.15.csv,0.15,0.9960227272727272,0.9704545454545456,0.928409090909091,0.9295454545454546,f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.15.csv,f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.15.csv,0.9878602390545291,0.03301007371132192,0.5125684011360072,0.8760472117422089,0.9729491928666747,0.04204056521915211,0.44203859880983604,,0.13018894785994287,,0.9875,,0.9448863636363637,,0.7665714057958863,0.23861622012701145,0.1615032795203658,,0.2681818181818182,,0.2198863636363636,,0.9973153409090909,0.39829545454545456,0.4670446257914371,0.06469393896829277,0.2772727272727273,0.44777950614483664,0.3471590909090909,0.4762021653123578,0.8778409090909091,0.00909090909090909,0.005113636363636364,0.5625
f16_i11_r05_c01_w4_n2200_1,poisoned_data/random_flip_svm/f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.20.csv,0.2,0.9960227272727272,0.9704545454545456,0.9210227272727272,0.9022727272727272,f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.20.csv,f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.20.csv,0.98218723127597,0.0480033877627154,0.5241568023698212,0.8809615484004342,0.9836274950436432,0.025832149670741798,0.5641338917628214,,0.14425051686752074,,0.99375,,0.9539772727272727,,0.7605288091336753,0.2354792199630017,0.1769130896847313,,0.29147727272727275,,0.2920454545454545,,0.9978002324380165,0.47556818181818183,0.47656748658357145,0.06384900464704243,0.33181818181818185,0.47099991720962486,0.3778409090909091,0.4849853595807822,0.9011363636363636,0.00909090909090909,0.005113636363636364,0.5625
f16_i11_r05_c01_w4_n2200_1,poisoned_data/random_flip_svm/f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.25.csv,0.25,0.9960227272727272,0.9704545454545456,0.9147727272727272,0.8704545454545455,f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.25.csv,f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.25.csv,0.9976700150302422,0.0064358347277641,0.5289737755032073,0.8860528967905318,0.9872762288736747,0.02186118212136458,0.6355768689717883,,0.10613316350957112,,0.9914772727272727,,0.9409090909090909,,0.792225981402407,0.22447207185918572,0.1837020186876932,,0.32386363636363635,,0.3113636363636364,,0.9982195893595042,0.5369318181818182,0.48363779961241204,0.06185741826936754,0.3784090909090909,0.4851282016751568,0.4153409090909091,0.4929207745352937,0.9369318181818181,0.00909090909090909,0.005113636363636364,0.5625
f16_i11_r05_c01_w4_n2200_1,poisoned_data/random_flip_svm/f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.30.csv,0.3,0.9960227272727272,0.9704545454545456,0.9045454545454544,0.825,f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.30.csv,f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.30.csv,0.9996273710574611,0.0010325245224575008,0.5402003645182878,0.8899432787224146,0.9917831388935249,0.012907351155660064,0.7661231016974426,,0.1268683364410997,,0.9943181818181818,,0.9539772727272727,,0.7969079878201404,0.22456299270548102,0.18999667629840633,,0.36250000000000004,,0.31818181818181823,,0.9984914127066116,0.5767045454545454,0.48822752610575965,0.060403114910749484,0.40511363636363634,0.49105354668816315,0.42556818181818185,0.49456938954925783,0.9482954545454545,0.00909090909090909,0.005113636363636364,0.5625
f16_i11_r05_c01_w4_n2200_1,poisoned_data/random_flip_svm/f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.35.csv,0.35,0.9960227272727272,0.9704545454545456,0.915340909090909,0.7431818181818182,f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.35.csv,f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.35.csv,0.9993702196622802,0.0017443450706770003,0.5439334164433889,0.8916132616672696,0.9947123053322628,0.008796458359264864,0.8323477746068709,,0.1748226348353508,,0.9960227272727272,,0.9630681818181818,,0.7950036612352632,0.2271146128071173,0.18357361546970086,,0.39829545454545456,,0.36818181818181817,,0.998606986053719,0.6073863636363637,0.4902696822328124,0.05894574727174706,0.42727272727272725,0.4948230623586756,0.43068181818181817,0.4953124107125745,0.9613636363636363,0.00909090909090909,0.005113636363636364,0.5625
f16_i11_r05_c01_w4_n2200_1,poisoned_data/random_flip_svm/f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.40.csv,0.4,0.9960227272727272,0.9704545454545456,0.9164772727272728,0.7113636363636363,f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.40.csv,f16_i11_r05_c01_w4_n2200_1_randomlabelflip_svm_0.40.csv,0.9999403836812655,0.00016527559705792338,0.5525092208336946,0.8938259083156752,0.9975066922754473,0.004289361464050386,0.8990337975012943,,0.13508624377723302,,0.99375,,0.9613636363636363,,0.8075918749985662,0.2135652235596921,0.18679406795005504,,0.4107954545454545,,0.4323863636363636,,0.9987261105371901,0.6505681818181818,0.49319745848323854,0.056279500281239625,0.46079545454545456,0.49860230247553367,0.44545454545454544,0.4971571463603503,0.9704545454545455,0.00909090909090909,0.005113636363636364,0.5625
f26_i22_r00_c15_w6_n1200_1,poisoned_data/random_flip_svm/f26_i22_r00_c15_w6_n1200_1_randomlabelflip_svm_0.00.csv,0.0,0.9416666666666668,0.7375,0.9416666666666668,0.7375,f26_i22_r00_c15_w6_n1200_1_randomlabelflip_svm_0.00.csv,f26_i22_r00_c15_w6_n1200_1_randomlabelflip_svm_0.00.csv,0.9744894033980523,0.06792452830188678,0.635803542543671,0.8817279283976365,0.9948606273400463,0.007196236396106389,0.5961680184940201,,0.019544332833626027,,0.9833333333333333,,0.8604166666666667,,0.824763695096065,0.1670864731214241,0.17135514305141075,,0.328125,,0.30833333333333335,,0.9968305121527777,0.525,0.49066264298104445,0.028083645291228074,0.3697916666666667,0.4829997920250907,0.296875,0.45711912982610103,1.0,0.027083333333333334,0.025,0.9230769230769231
